Filename,OCR,Correct Label,Auto Correct,Result
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/004311/1.json,WARRANTEK JOINT STOCK COMPANY - TESTING CENTER,Unknown,Công ty Cổ phần Warrantek,Unknown
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/015183/1.json,SỞ Y TẾ HÀ NỘI |TRUNG TÂM KIỂM NGHIỆM,"TRUNG TÂM KIỂM NGHIỆM THUỐC, MỸ PHẨM, THỰC PHẨM - SỞ Y TẾ HÀ NỘI","TRUNG TÂM KIỂM NGHIỆM THUỐC, MỸ PHẨM, THỰC PHẨM - SỞ Y TẾ HÀ NỘI",True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001112/1.json,"CÔNG TY TNHH PHÂN TÍCH KIỂM NGHIỆM VIỆT TÍN |VIET TIN TESTING CO., LTD",CÔNG TY TNHH PHÂN TÍCH KIỂM NGHIỆM VIỆT TÍN,CÔNG TY TNHH PHÂN TÍCH KIỂM NGHIỆM VIỆT TÍN,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/004856/1.json,TRUNG TÂM PHÂN TÍCH VÀ GIÁM ĐỊNH THỰC PHẨM QUỐC GIA |NATIONAL CENTER FOR FOOD ANALYSIS AND ASSESSMENT |ISO/IEC 17025 - VILAS 259,TRUNG TÂM PHÂN TÍCH VÀ GIÁM ĐỊNH THỰC PHẨM QUỐC GIA - VIỆN CÔNG NGHIỆP THỰC PHẨM,TRUNG TÂM PHÂN TÍCH VÀ GIÁM ĐỊNH THỰC PHẨM QUỐC GIA - VIỆN CÔNG NGHIỆP THỰC PHẨM,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001404/1.json,TRUNG TÂM KỸ THUẬT TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG 3 |QUALITY ASSURANCE & TESTING CENTER 3,TRUNG TÂM KỸ THUẬT TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG 3,TRUNG TÂM KỸ THUẬT TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG 3,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/033268/1.json,VIỆN HÀN LÂM |KHOA HỌC VÀ CÔNG NGHỆ VN |VIỆN KHOA HỌC VẬT LIỆU,VIỆN KHOA HỌC VẬT LIỆU - VIỆN HÀN LÂM KHOA HỌC VÀ CÔNG NGHỆ VN,VIỆN KHOA HỌC VẬT LIỆU - VIỆN HÀN LÂM KHOA HỌC VÀ CÔNG NGHỆ VN,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/004882/1.json,TRUNG TÂM NGHIÊN CỨU THỰC PHẨM & MỸ PHÂN |PHÒNG THÍ NGHIỆM THỰC PHẨM & MỸ PHẨM,PHÒNG THÍ NGHIỆM THỰC PHẨM & MỸ PHẨM - TRUNG TÂM NGHIÊN CỨU THỰC PHẨM & MỸ PHẨM,PHÒNG THÍ NGHIỆM THỰC PHẨM & MỸ PHẨM - TRUNG TÂM NGHIÊN CỨU THỰC PHẨM & MỸ PHẨM,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001908/1.json,SỞ Y TẾ HÀ NỘI |HANOI DEPARTMENT OF HEALTH |TRUNG TÂM Y TẾ DỰ PHÒNG,TRUNG TÂM Y TẾ DỰ PHÒNG- SỞ Y TẾ HÀ NỘI,TRUNG TÂM Y TẾ DỰ PHÒNG- SỞ Y TẾ HÀ NỘI,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/002501/1.json,TRUNG TÂM Y TẾ DỰ PHÒNG HẢI PHÒNG |KHOA XÉT NGHIỆM,KHOA XÉT NGHIỆM - TRUNG TÂM Y TẾ DỰ PHÒNG HẢI PHÒNG,KHOA XÉT NGHIỆM - TRUNG TÂM Y TẾ DỰ PHÒNG HẢI PHÒNG,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001492/1.json,TRUNG TÂM KỸ THUẬT TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG 3 |QUALITY ASSURANCE & TESTING CENTER 3,Unknown,TRUNG TÂM KỸ THUẬT TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG 3,Unknown
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001580/1.json,PHÒNG KIỂM TRA CHẤT LƯỢNG,PHÒNG KIỂM TRA CHẤT LƯỢNG - CÔNG TY CP DƯỢC PHẨM TRƯỜNG THỌ,PHÒNG KIỂM TRA CHẤT LƯỢNG - CÔNG TY CP DƯỢC PHẨM TRƯỜNG THỌ,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/012618/1.json,TRUNG TÂM KỸ THUẬT |TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG CẦN THƠ |CANTHO TECHNICAL CENTER OF STANDARDS METROLOGY AND QUALITY,Trung tâm Kỹ thuật Tiêu chuẩn Đo lường Chất lượng Cần Thơ,Trung tâm Kỹ thuật Tiêu chuẩn Đo lường Chất lượng Cần Thơ,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/024777/1.json,BỘ Y TẾ |VIỆN PASTEUR NHA TRANG |TRUNG TÂM KIỂM NGHIỆM ATVSTP KHU VỰC MIÊN TRUNG,VIỆN PASTEUR NHA TRANG,VIỆN PASTEUR NHA TRANG,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001427/1.json,VIỆN KIỂM NGHIỆM AN TOÀN VỆ SINH THỰC PHẨM QUỐC GIA |NATIONAL INSTITUTE FOR FOOD CONTROL (NIFC),VIỆN KIỂM NGHIỆM AN TOÀN VỆ SINH THỰC PHẨM QUỐC GIA - BỘ Y TẾ,VIỆN KIỂM NGHIỆM AN TOÀN VỆ SINH THỰC PHẨM QUỐC GIA - BỘ Y TẾ,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/002125/1.json,CÔNG TY TNHH DƯỢC PHẨM LIÊN HỢP,CÔNG TY TNHH DƯỢC PHẨM LIÊN HỢP ,CÔNG TY TNHH DƯỢC PHẨM LIÊN HỢP ,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/028517/1.json,CÔNG TY TNHH DƯỢC PHẨM NHẤT |NHẤTCông Ty TNHH Dược Phẩm Nhất Nhất tại Long An,CÔNG TY TNHH DƯỢC PHẨM NHẤT NHẤT TẠI LONG AN,CÔNG TY TNHH DƯỢC PHẨM NHẤT NHẤT TẠI LONG AN,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/001951/1.json,BỘ Y TẾ |VIỆN DINH DƯỠNG QUỐC GIA |NATIONAL INSTITUTE OF NUTRITION (NIN),VIỆN DINH DƯỠNG QUỐC GIA - BỘ Y TẾ,VIỆN DINH DƯỠNG QUỐC GIA - BỘ Y TẾ,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/002205/1.json,VIỆN CÔNG NGHỆ HÓA HỌC,VIỆN CÔNG NGHỆ HOÁ HỌC,VIỆN CÔNG NGHỆ HOÁ HỌC,True
/home/huynhtruc0309/Desktop/output_phieukiemnghiem/output/000792/1.json,VIỆN THỰC PHẨM CHỨC NĂNG |TRUNG TÂM KIỂM NGHIỆM,Trung tâm kiểm nghiệm – Viện thực phẩm chức năng,Trung tâm kiểm nghiệm – Viện thực phẩm chức năng,True
